S.N.	E	Gam	phi	C	Neu	dil	ExDep	Bfill	Plthk	FAng	Inc	Sp	Len
1171	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.5	1.2
1172	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.5	1.0
1173	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.5	0.8
1174	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.7	1.2
1175	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.7	1.0
1176	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.7	0.8
1177	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.9	1.2
1178	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.9	1.0
1179	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	5.0	15	0.9	0.8
1180	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.5	1.2
1181	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.5	1.0
1182	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.5	0.8
1183	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.7	1.2
1184	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.7	1.0
1185	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.7	0.8
1186	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.9	1.2
1187	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.9	1.0
1188	8000	21.0	34.0	15.0	0.35	4.0	6.0	29.0	200	10.0	15	0.9	0.8
1189	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.5	1.2
1190	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.5	1.0
1191	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.5	0.8
1192	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.7	1.2
1193	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.7	1.0
1194	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.7	0.8
1195	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.9	1.2
1196	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.9	1.0
1197	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	5.0	15	0.9	0.8
1198	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.5	1.2
1199	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.5	1.0
1200	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.5	0.8
1201	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.7	1.2
1202	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.7	1.0
1203	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.7	0.8
1204	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.9	1.2
1205	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.9	1.0
1206	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	100	10.0	15	0.9	0.8
1207	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.5	1.2
1208	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.5	1.0
1209	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.5	0.8
1210	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.7	1.2
1211	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.7	1.0
1212	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.7	0.8
1213	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.9	1.2
1214	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.9	1.0
1215	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	5.0	15	0.9	0.8
1216	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.5	1.2
1217	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.5	1.0
1218	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.5	0.8
1219	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.7	1.2
1220	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.7	1.0
1221	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.7	0.8
1222	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.9	1.2
1223	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.9	1.0
1224	8000	21.0	34.0	15.0	0.3	4.0	6.0	29.0	200	10.0	15	0.9	0.8
1225	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.5	1.2
1226	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.5	1.0
1227	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.5	0.8
1228	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.7	1.2
1229	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.7	1.0
1230	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.7	0.8
1231	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.9	1.2
1232	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.9	1.0
1233	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	5.0	15	0.9	0.8
1234	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.5	1.2
1235	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.5	1.0
1236	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.5	0.8
1237	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.7	1.2
1238	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.7	1.0
1239	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.7	0.8
1240	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.9	1.2
1241	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.9	1.0
1242	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	100	10.0	15	0.9	0.8
1243	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.5	1.2
1244	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.5	1.0
1245	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.5	0.8
1246	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.7	1.2
1247	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.7	1.0
1248	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.7	0.8
1249	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.9	1.2
1250	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.9	1.0
1251	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	5.0	15	0.9	0.8
1252	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.5	1.2
1253	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.5	1.0
1254	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.5	0.8
1255	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.7	1.2
1256	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.7	1.0
1257	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.7	0.8
1258	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.9	1.2
1259	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.9	1.0
1260	8000	21.0	34.0	5.0	0.35	4.0	6.0	29.0	200	10.0	15	0.9	0.8
1261	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.5	1.2
1262	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.5	1.0
1263	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.5	0.8
1264	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.7	1.2
1265	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.7	1.0
1266	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.7	0.8
1267	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.9	1.2
1268	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.9	1.0
1269	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	5.0	15	0.9	0.8
1270	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.5	1.2
1271	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.5	1.0
1272	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.5	0.8
1273	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.7	1.2
1274	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.7	1.0
1275	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.7	0.8
1276	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.9	1.2
1277	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.9	1.0
1278	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	100	10.0	15	0.9	0.8
1279	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.5	1.2
1280	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.5	1.0
1281	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.5	0.8
1282	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.7	1.2
1283	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.7	1.0
1284	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.7	0.8
1285	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.9	1.2
1286	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.9	1.0
1287	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	5.0	15	0.9	0.8
1288	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.5	1.2
1289	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.5	1.0
1290	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.5	0.8
1291	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.7	1.2
1292	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.7	1.0
1293	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.7	0.8
1294	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.9	1.2
1295	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.9	1.0
1296	8000	21.0	34.0	5.0	0.3	4.0	6.0	29.0	200	10.0	15	0.9	0.8
1297	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.2
1298	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.0
1299	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.5	0.8
1300	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.2
1301	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.0
1302	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.7	0.8
1303	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.2
1304	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.0
1305	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.9	0.8
1306	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.2
1307	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.0
1308	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.5	0.8
1309	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.2
1310	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.0
1311	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.7	0.8
1312	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.9	1.2
1313	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.9	1.0
1314	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.9	0.8
1315	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.5	1.2
1316	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.5	1.0
1317	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.5	0.8
1318	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.7	1.2
1319	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.7	1.0
1320	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.7	0.8
1321	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.9	1.2
1322	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.9	1.0
1323	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.9	0.8
1324	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.5	1.2
1325	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.5	1.0
1326	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.5	0.8
1327	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.7	1.2
1328	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.7	1.0
1329	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.7	0.8
1330	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.9	1.2
1331	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.9	1.0
1332	8000	22.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.9	0.8
1333	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.5	1.2
1334	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.5	1.0
1335	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.5	0.8
1336	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.7	1.2
1337	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.7	1.0
1338	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.7	0.8
1339	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.9	1.2
1340	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.9	1.0
1341	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	5.0	15	0.9	0.8
1342	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.5	1.2
1343	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.5	1.0
1344	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.5	0.8
1345	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.7	1.2
1346	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.7	1.0
1347	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.7	0.8
1348	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.9	1.2
1349	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.9	1.0
1350	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	100	10.0	15	0.9	0.8
1351	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.5	1.2
1352	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.5	1.0
1353	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.5	0.8
1354	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.7	1.2
1355	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.7	1.0
1356	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.7	0.8
1357	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.9	1.2
1358	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.9	1.0
1359	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	5.0	15	0.9	0.8
1360	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.5	1.2
1361	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.5	1.0
1362	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.5	0.8
1363	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.7	1.2
1364	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.7	1.0
1365	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.7	0.8
1366	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.9	1.2
1367	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.9	1.0
1368	8000	22.5	26.0	25.0	0.3	0	6.0	21.0	200	10.0	15	0.9	0.8
1369	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.2
1370	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.0
1371	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.5	0.8
1372	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.2
1373	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.0
1374	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.7	0.8
1375	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.2
1376	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.0
1377	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	5.0	15	0.9	0.8
1378	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.2
1379	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.0
1380	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.5	0.8
1381	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.2
1382	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.0
1383	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.7	0.8
1384	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.9	1.2
1385	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.9	1.0
1386	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	100	10.0	15	0.9	0.8
1387	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.5	1.2
1388	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.5	1.0
1389	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.5	0.8
1390	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.7	1.2
1391	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.7	1.0
1392	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.7	0.8
1393	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.9	1.2
1394	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.9	1.0
1395	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	5.0	15	0.9	0.8
1396	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.5	1.2
1397	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.5	1.0
1398	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.5	0.8
1399	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.7	1.2
1400	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.7	1.0
1401	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.7	0.8
1402	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.9	1.2
1403	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.9	1.0
1404	8000	22.5	26.0	15.0	0.35	0	6.0	21.0	200	10.0	15	0.9	0.8
1405	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.5	1.2
1406	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.5	1.0
1407	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.5	0.8
1408	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.7	1.2
1409	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.7	1.0
1410	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.7	0.8
1411	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.9	1.2
1412	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.9	1.0
1413	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	5.0	15	0.9	0.8
1414	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.5	1.2
1415	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.5	1.0
1416	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.5	0.8
1417	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.7	1.2
1418	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.7	1.0
1419	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.7	0.8
1420	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.9	1.2
1421	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.9	1.0
1422	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	100	10.0	15	0.9	0.8
1423	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.5	1.2
1424	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.5	1.0
1425	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.5	0.8
1426	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.7	1.2
1427	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.7	1.0
1428	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.7	0.8
1429	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.9	1.2
1430	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.9	1.0
1431	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	5.0	15	0.9	0.8
1432	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.5	1.2
1433	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.5	1.0
1434	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.5	0.8
1435	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.7	1.2
1436	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.7	1.0
1437	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.7	0.8
1438	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.9	1.2
1439	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.9	1.0
1440	8000	22.5	26.0	15.0	0.3	0	6.0	21.0	200	10.0	15	0.9	0.8
1441	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.2
1442	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.0
1443	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.5	0.8
1444	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.2
1445	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.0
1446	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.7	0.8
1447	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.2
1448	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.0
1449	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	5.0	15	0.9	0.8
1450	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.2
1451	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.0
1452	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	10.0	15	0.5	0.8
1453	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.2
1454	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.0
1455	8000	22.5	26.0	5.0	0.35	0	6.0	21.0	100	10.0	15	0.7	0.8
